ticker,name,sector,action,final_score,pre_score,quant_score,financial_score,qualitative_score,event_score,ev_score,risk_score,benchmark_score,reliability,expected_value_pct,up_probability,upside_pct,downside_pct,reselect_score,universe_status,financial_status,qualitative_note,event_note,cagr5,cagr10,one_year,sixty_day,sp5_diff,sp1_diff,max_dd5,max_dd1,price,price_time,gate_notes,missing_items
2503.T,キリンHD,その他,買付不可,2.6,43.5,31.0,55.0,50.0,50.0,51.3,70.4,20.0,48.0,0.63,58.7,8.2,9.2,52.6,除外,未取得,質的データ未接続,イベント未接続,7.8,6.8,35.8,2.9,-4.6,8.3,-21.8,-12.8,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
4502.T,武田薬品,その他,買付不可,2.4,43.2,28.6,55.0,50.0,50.0,52.2,71.9,19.0,56.0,1.11,58.6,8.2,8.0,58.4,除外,未取得,質的データ未接続,イベント未接続,11.3,5.0,26.2,-9.1,-1.1,-1.3,-19.1,-14.1,5005.0,2026-06-18 15:09,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
6326.T,クボタ,その他,買付不可,2.1,43.6,34.1,55.0,50.0,50.0,47.5,44.2,32.3,48.0,-1.25,58.8,10.4,16.9,44.8,除外,未取得,質的データ未接続,イベント未接続,4.2,7.8,83.3,-8.8,-8.1,55.7,-40.2,-25.2,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
9433.T,KDDI,その他,買付不可,2.0,42.6,28.4,55.0,50.0,50.0,53.1,75.5,14.4,48.0,1.54,58.4,8.4,7.1,57.8,除外,未取得,質的データ未接続,イベント未接続,10.9,8.9,11.8,3.0,-1.5,-15.8,-16.8,-12.1,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
4188.T,三菱ケミカルG,その他,買付不可,1.5,42.4,31.3,55.0,50.0,50.0,49.9,49.4,24.9,48.0,-0.07,58.3,10.9,14.4,46.9,除外,未取得,質的データ未接続,イベント未接続,8.0,10.9,51.8,-0.3,-4.3,24.3,-34.4,-25.4,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
9434.T,ソフトバンク,その他,買付不可,0.9,41.6,25.5,55.0,50.0,50.0,50.8,76.1,13.2,48.0,0.42,58.0,5.8,6.1,63.9,除外,未取得,質的データ未接続,イベント未接続,14.3,0.0,1.5,5.4,1.9,-26.0,-14.5,-14.1,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
6201.T,豊田自動織機,その他,買付不可,0.8,41.4,29.4,55.0,50.0,50.0,51.2,51.4,19.5,48.0,0.58,57.9,14.9,18.1,55.8,除外,未取得,質的データ未接続,イベント未接続,18.5,18.2,14.5,1.2,6.1,-13.0,-43.2,-12.0,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
4005.T,住友化学,その他,買付不可,0.6,42.6,32.8,55.0,50.0,50.0,42.6,39.9,29.9,48.0,-3.68,58.4,8.5,19.8,40.4,除外,未取得,質的データ未接続,イベント未接続,2.1,4.9,79.5,7.3,-10.3,51.9,-47.2,-22.4,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
7202.T,いすゞ自動車,その他,買付不可,0.3,40.7,25.9,55.0,50.0,50.0,51.8,56.3,19.5,48.0,0.91,57.7,10.4,11.1,51.8,除外,未取得,質的データ未接続,イベント未接続,13.4,9.4,23.9,-18.5,1.0,-3.6,-26.5,-25.9,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
4503.T,アステラス製薬,その他,買付不可,0.3,41.7,29.3,55.0,50.0,50.0,45.9,46.8,26.5,48.0,-2.03,58.0,9.8,17.5,46.3,除外,未取得,質的データ未接続,イベント未接続,7.8,6.8,57.7,-14.7,-4.6,30.2,-41.6,-20.1,,,100社再選定で除外 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
