date,quote_time_jst,captured_at_jst,symbol,price_yen,quantity,market_value_yen,quote_status,source
2026-07-22,10:58:31,2026-07-22 11:00:00,6861.T,73610,2,147220,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,10:58:34,2026-07-22 11:00:00,7012.T,2724,25,68100,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,10:58:36,2026-07-22 11:00:00,7203.T,2939,23,67597,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,10:58:31,2026-07-22 11:00:00,7269.T,2061,20,41220,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,10:58:27,2026-07-22 11:00:00,7532.T,854.3,70,59801,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,10:58:31,2026-07-22 11:00:00,7832.T,4078,16,65248,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,10:58:31,2026-07-22 11:00:00,8035.T,68900,1,68900,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,10:58:34,2026-07-22 11:00:00,8306.T,3663,18,65934,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,10:58:33,2026-07-22 11:00:00,8316.T,7092,13,92196,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,10:58:32,2026-07-22 11:00:00,8411.T,8594,10,85940,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,10:58:22,2026-07-22 11:00:00,8591.T,6613,13,85969,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,10:58:34,2026-07-22 11:00:00,8630.T,6835,12,82020,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,10:58:15,2026-07-22 11:00:00,8750.T,1884,10,18840,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,10:58:34,2026-07-22 11:00:00,8766.T,7910,12,94920,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,10:57:46,2026-07-22 11:00:00,8795.T,5053,14,70742,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,10:58:34,2026-07-22 11:00:00,9432.T,150.1,500,75050,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,10:58:31,2026-07-22 11:00:00,9433.T,2843.5,23,65400.5,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,10:58:29,2026-07-22 11:00:00,9697.T,3343,7,23401,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,10:58:31,2026-07-22 11:00:00,9983.T,78370,2,156740,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,11:30:00,2026-07-22 12:00:00,1801.T,13760,3,41280,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,11:30:00,2026-07-22 12:00:00,1812.T,5631,14,78834,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,11:30:00,2026-07-22 12:00:00,5333.T,6370,5,31850,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,11:30:00,2026-07-22 12:00:00,5803.T,5022,8,40176,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,11:30:00,2026-07-22 12:00:00,6146.T,70810,1,70810,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,11:30:00,2026-07-22 12:00:00,6383.T,6474,6,38844,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,11:30:00,2026-07-22 12:00:00,6501.T,4818,15,72270,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,11:30:00,2026-07-22 12:00:00,6503.T,5743,14,80402,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,11:30:00,2026-07-22 12:00:00,6504.T,13245,6,79470,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,11:30:00,2026-07-22 12:00:00,6762.T,3172,23,72956,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,11:30:00,2026-07-22 12:00:00,6861.T,73560,2,147120,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,11:30:00,2026-07-22 12:00:00,7012.T,2733,25,68325,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,11:30:00,2026-07-22 12:00:00,7203.T,2924,23,67252,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,11:30:00,2026-07-22 12:00:00,7269.T,2054,20,41080,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,11:30:00,2026-07-22 12:00:00,7532.T,853.5,70,59745,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,11:30:00,2026-07-22 12:00:00,7832.T,4060,16,64960,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,11:30:00,2026-07-22 12:00:00,8035.T,69280,1,69280,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,11:30:00,2026-07-22 12:00:00,8306.T,3675,18,66150,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,11:30:00,2026-07-22 12:00:00,8316.T,7116,13,92508,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,11:30:00,2026-07-22 12:00:00,8411.T,8613,10,86130,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,11:30:00,2026-07-22 12:00:00,8591.T,6615,13,85995,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,11:30:00,2026-07-22 12:00:00,8630.T,6834,12,82008,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,11:30:00,2026-07-22 12:00:00,8750.T,1886,10,18860,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,11:30:00,2026-07-22 12:00:00,8766.T,7905,12,94860,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,11:30:00,2026-07-22 12:00:00,8795.T,5061,14,70854,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,11:30:00,2026-07-22 12:00:00,9432.T,149.9,500,74950,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,11:30:00,2026-07-22 12:00:00,9433.T,2821,23,64883,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,11:30:00,2026-07-22 12:00:00,9697.T,3343,7,23401,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,11:30:00,2026-07-22 12:00:00,9983.T,78110,2,156220,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,12:58:50,2026-07-22 13:00:00,1801.T,13745,3,41235,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,12:58:43,2026-07-22 13:00:00,1812.T,5624,14,78736,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,12:58:41,2026-07-22 13:00:00,5333.T,6306,5,31530,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,12:58:54,2026-07-22 13:00:00,5803.T,4882,8,39056,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,12:58:51,2026-07-22 13:00:00,6146.T,69740,1,69740,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,12:58:55,2026-07-22 13:00:00,6383.T,6446,6,38676,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,12:58:52,2026-07-22 13:00:00,6501.T,4837,15,72555,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,12:58:52,2026-07-22 13:00:00,6503.T,5699,14,79786,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,12:58:43,2026-07-22 13:00:00,6504.T,13080,6,78480,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,12:58:53,2026-07-22 13:00:00,6762.T,3137,23,72151,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,12:58:07,2026-07-22 13:00:00,6861.T,73050,2,146100,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,12:58:54,2026-07-22 13:00:00,7012.T,2747,25,68675,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,12:58:53,2026-07-22 13:00:00,7203.T,2933,23,67459,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,12:58:51,2026-07-22 13:00:00,7269.T,2053,20,41060,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,12:58:53,2026-07-22 13:00:00,7532.T,860.5,70,60235,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,12:58:51,2026-07-22 13:00:00,7832.T,4070,16,65120,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,12:58:54,2026-07-22 13:00:00,8035.T,67910,1,67910,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,12:58:53,2026-07-22 13:00:00,8306.T,3675,18,66150,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,12:58:54,2026-07-22 13:00:00,8316.T,7109,13,92417,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,12:58:54,2026-07-22 13:00:00,8411.T,8583,10,85830,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,12:58:50,2026-07-22 13:00:00,8591.T,6597,13,85761,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,12:58:49,2026-07-22 13:00:00,8630.T,6858,12,82296,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,12:58:50,2026-07-22 13:00:00,8750.T,1888.5,10,18885,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,12:58:52,2026-07-22 13:00:00,8766.T,7959,12,95508,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,12:58:51,2026-07-22 13:00:00,8795.T,5063,14,70882,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,12:58:51,2026-07-22 13:00:00,9432.T,150.6,500,75300,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,12:58:44,2026-07-22 13:00:00,9433.T,2835.5,23,65216.5,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,12:58:53,2026-07-22 13:00:00,9697.T,3349,7,23443,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,12:58:48,2026-07-22 13:00:00,9983.T,78090,2,156180,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,13:59:05,2026-07-22 14:00:00,1801.T,13775,3,41325,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,13:59:24,2026-07-22 14:00:00,1812.T,5642,14,78988,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,13:59:29,2026-07-22 14:00:00,5333.T,6294,5,31470,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,13:59:31,2026-07-22 14:00:00,5803.T,4859,8,38872,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,13:59:18,2026-07-22 14:00:00,6146.T,69520,1,69520,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,13:59:16,2026-07-22 14:00:00,6383.T,6426,6,38556,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,13:59:31,2026-07-22 14:00:00,6501.T,4849,15,72735,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,13:59:24,2026-07-22 14:00:00,6503.T,5695,14,79730,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,13:59:11,2026-07-22 14:00:00,6504.T,13055,6,78330,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,13:59:31,2026-07-22 14:00:00,6762.T,3123,23,71829,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,13:58:47,2026-07-22 14:00:00,6861.T,73000,2,146000,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,13:59:28,2026-07-22 14:00:00,7012.T,2765.5,25,69137.5,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,13:59:31,2026-07-22 14:00:00,7203.T,2933.5,23,67470.5,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,13:59:29,2026-07-22 14:00:00,7269.T,2052,20,41040,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,13:59:28,2026-07-22 14:00:00,7532.T,863.8,70,60466,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,13:59:30,2026-07-22 14:00:00,7832.T,4085,16,65360,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,13:59:30,2026-07-22 14:00:00,8035.T,67410,1,67410,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,13:59:27,2026-07-22 14:00:00,8306.T,3669,18,66042,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,13:59:31,2026-07-22 14:00:00,8316.T,7107,13,92391,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,13:59:30,2026-07-22 14:00:00,8411.T,8568,10,85680,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,13:59:30,2026-07-22 14:00:00,8591.T,6597,13,85761,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,13:59:24,2026-07-22 14:00:00,8630.T,6894,12,82728,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,13:59:24,2026-07-22 14:00:00,8750.T,1898,10,18980,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,13:59:24,2026-07-22 14:00:00,8766.T,7953,12,95436,OK,Yahoo Finance JP full-market screener (delayed)
2026-07-22,13:59:11,2026-07-22 14:00:00,8795.T,5077,14,71078,OK,Yahoo Finance JP full-market screener (delayed)
