updated_at,ticker,month,month_close,monthly_return_pct,monthly_volume,source
2026/05/20 01:43,8306.T,2024-02,1550,0.519,1752640900,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2024-03,1579.5,1.903,1155551800,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2024-04,1658,4.97,1344523600,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2024-05,1729,4.282,1195232700,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2024-06,1750,1.215,1263870500,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2024-07,1528,-12.686,1763344300,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2024-08,1453.5,-4.876,1107212500,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2024-09,1628.5,12.04,1126603800,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2024-10,1792,10.04,1067032800,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2024-11,1846,3.013,962498000,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2024-12,1978.5,7.178,1046760400,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2025-01,1903,-3.816,924546100,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2025-02,2011,5.675,1162379800,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2025-03,1803.5,-10.318,1704764800,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2025-04,2025.5,12.309,1060556300,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2025-05,1983,-2.098,729277000,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2025-06,2110.5,6.43,875350400,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2025-07,2259,7.036,901850800,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2025-08,2394,5.976,803005400,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2025-09,2330,-2.673,923910400,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2025-10,2423.5,4.013,752408300,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2025-11,2493,2.868,899249900,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2025-12,2804.5,12.495,919929400,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2026-01,2968.5,5.848,871188500,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2026-02,2600,-12.414,982985600,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2026-03,2817,8.346,768761500,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2026-04,2995,6.319,361227600,Yahoo Finance chart API 1mo
2026/05/20 01:43,8306.T,2026-05,3108,3.773,55685600,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2018-05,1026,,249420000,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2018-06,1039,1.267,214880400,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2018-07,1057,1.732,261246600,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2018-08,1167,10.407,284848500,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2018-09,1060,-9.169,310535400,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2018-10,1020.67,-3.711,292467600,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2018-11,1006.67,-1.372,263462700,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2018-12,1060.33,5.331,196971000,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2019-01,1046.33,-1.32,225364200,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2019-02,1024.67,-2.071,174648300,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2019-03,1018.67,-0.586,174420000,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2019-04,944.33,-7.297,353988000,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2019-05,946.67,0.247,238981800,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2019-06,978.83,3.398,256744200,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2019-07,861.67,-11.97,379368600,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2019-08,883.67,2.553,366187500,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2019-09,921.33,4.263,285588300,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2019-10,955.33,3.69,309689100,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2019-11,966.67,1.186,235894800,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2019-12,941,-2.655,233490900,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2020-01,896.67,-4.711,289285200,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2020-02,763.83,-14.814,563654100,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2020-03,766.67,0.371,335156400,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2020-04,838.33,9.348,254189100,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2020-05,756.67,-9.742,345066000,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2020-06,706.5,-6.63,260631000,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2020-07,837.5,18.542,326090400,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2020-08,837.5,0,347102700,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2020-09,775.17,-7.443,200782800,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2020-10,811,4.623,255788100,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2020-11,847,4.439,219818400,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2020-12,882.5,4.191,290543700,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2021-01,1001,13.428,286197900,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2021-02,1043.33,4.229,375120300,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2021-03,1006.67,-3.514,199292100,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2021-04,994.67,-1.192,274981800,Yahoo Finance chart API 1mo
2026/05/20 01:43,8058.T,2021-05,1009.33,1.475,202044300,Yahoo Finance chart API 1mo
