updated_at,benchmark,benchmark_ticker,trigger_pct,event_date,benchmark_daily_return_pct,ticker,company,structural_rating,stock_return_1d_pct,benchmark_return_1d_pct,excess_1d_pct,stock_return_5d_pct,benchmark_return_5d_pct,excess_5d_pct,stock_return_20d_pct,benchmark_return_20d_pct,excess_20d_pct
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-02-04,-1.51,6146.T,ディスコ,A-,-4.36,-1.59,-2.77,6.88,0.71,6.18,7.88,-0.68,8.56
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-02-04,-1.51,6920.T,レーザーテック,A,-3.07,-1.59,-1.48,4.51,0.71,3.81,11.76,-0.68,12.44
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-02-04,-1.51,6857.T,アドバンテスト,B,-4.81,-1.59,-3.22,5.24,0.71,4.53,0.92,-0.68,1.60
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-02-04,-1.51,6762.T,TDK,B,0.16,-1.59,1.75,4.37,0.71,3.66,4.00,-0.68,4.68
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-02-05,-1.59,8035.T,東京エレクトロン,S,2.60,2.18,0.42,5.00,0.25,4.75,-2.68,-0.68,-2.00
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-02-05,-1.59,7735.T,SCREEN HD,A,0.02,2.18,-2.15,3.35,0.25,3.10,-5.58,-0.68,-4.90
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-02-05,-1.59,6146.T,ディスコ,A-,0.97,2.18,-1.21,12.11,0.25,11.86,2.04,-0.68,2.72
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-02-05,-1.59,6920.T,レーザーテック,A,4.50,2.18,2.32,6.82,0.25,6.57,5.09,-0.68,5.77
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-02-05,-1.59,6857.T,アドバンテスト,B,1.15,2.18,-1.02,11.88,0.25,11.63,-5.67,-0.68,-4.99
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-02-05,-1.59,6762.T,TDK,B,0.32,2.18,-1.85,2.62,0.25,2.37,-2.57,-0.68,-1.90
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-02-12,-2.03,8035.T,東京エレクトロン,S,1.67,-0.22,1.89,8.06,1.28,6.78,-7.17,-2.18,-4.99
2026/05/26 13:08,NASDAQ総合,^IXIC,-1.5,2026-02-12,-2.03,7735.T,SCREEN HD,A,-2.55,-0.22,-2.33,1.19,1.28,-0.09,-13.10,-2.18,-10.92
