再計算順位,コード,銘柄,旧10社,再選定点,最終扱い,5年CAGR,10年CAGR,直近1年騰落率,60日騰落率,5年S&P差,直近1年S&P差,5年最大下落率,直近1年最大下落率,月次勝率,取得項目数,除外理由,確認事項
52,4519.T,中外製薬,,50.4,除外,15.7,21.7,6.9,-24.8,3.4,-20.6,-29.1,-28.8,55,8,直近1年でS&P500に劣後 / 直近60日が弱い,
53,1925.T,大和ハウス工業,,50,除外,10.3,6.8,-8,-20.3,-2.1,-35.5,-21.6,-21.8,70,8,直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 直近60日が弱い,
54,9432.T,NTT,,49.8,除外,8.2,7.9,0.1,0.4,-4.2,-27.4,-23.7,-7.7,55,8,直近1年でS&P500に劣後 / 5年でS&P500に劣後,
55,9020.T,JR東日本,,49,除外,7.9,2,15.4,-9.4,-4.4,-12.2,-24.6,-18.5,58.3,8,直近1年でS&P500に劣後 / 5年でS&P500に劣後,
56,3402.T,東レ,,47.8,除外,11.8,3.9,15.5,-13.8,-0.6,-12,-26.5,-21.7,53.3,8,直近1年でS&P500に劣後 / 5年でS&P500に劣後,
57,4188.T,三菱ケミカルG,,46.9,除外,8,10.9,51.8,-0.3,-4.3,24.3,-34.4,-25.4,53.3,8,5年でS&P500に劣後,
58,6861.T,キーエンス,,46.9,除外,7.6,16.5,23.6,15.2,-4.7,-3.9,-39.8,-17.9,55,8,直近1年でS&P500に劣後 / 5年でS&P500に劣後,
59,6367.T,ダイキン工業,,46.9,除外,2.6,11,48.2,20.3,-9.7,20.6,-50,-14.5,56.7,8,5年でS&P500に劣後,
60,4503.T,アステラス製薬,,46.3,除外,7.8,6.8,57.7,-14.7,-4.6,30.2,-41.6,-20.1,55,8,5年でS&P500に劣後,
61,6326.T,クボタ,,44.8,除外,4.2,7.8,83.3,-8.8,-8.1,55.7,-40.2,-25.2,51.7,8,5年でS&P500に劣後,
62,7203.T,トヨタ自動車,,44.6,除外,13.8,13.7,18.7,-18.6,1.5,-8.9,-41.7,-26.8,55,8,直近1年でS&P500に劣後 / 直近60日が弱い,
63,9766.T,コナミグループ,,43.5,除外,24.2,18.1,-3.4,-1.6,11.8,-30.9,-36.9,-30.5,53.3,8,直近1年でS&P500に劣後,
64,7267.T,ホンダ,,41.8,除外,8.9,7.2,5.8,-5.2,-3.5,-21.8,-34.2,-24.1,58.3,8,直近1年でS&P500に劣後 / 5年でS&P500に劣後,
65,6098.T,リクルートHD,,41.6,除外,12.7,24,21,51.2,0.3,-6.5,-58.1,-34.7,53.3,8,直近1年でS&P500に劣後 / 5年最大下落率が大きい,
