順位,コード,銘柄,長期安定性スコア,判定,データ年数,5年CAGR,10年CAGR,5年S&P差,5年日経差,5年年率ボラ,5年最大下落率,月次勝率,S&P相関,S&Pベータ,リターン点,安定性点,継続性点,確認事項
76,6326.T,クボタ,34.8,長期安定性は弱い,10,4.2,7.8,-8.1,-13.1,29.2,-40.2,51.7,0.35,0.64,37.4,34.1,31.6,S&P500に劣後 / 上昇月の比率が低い
77,6098.T,リクルートHD,34.1,長期安定性は弱い,10,12.7,24,0.3,-4.6,38.2,-58.1,53.3,0.62,1.5,51.8,10.3,39,大きな下落経験あり / 値動きが大きい
78,6920.T,レーザーテック,32.6,長期安定性は弱い,10,17,63,4.7,-0.3,58.3,-76.6,56.7,0.53,1.97,59.2,0,35.6,大きな下落経験あり / 値動きが大きい
79,7974.T,任天堂,31.8,長期安定性は弱い,10,3.3,18.8,-9.1,-14,26,-52.1,53.3,0.12,0.19,35.8,29.8,28.2,S&P500に劣後 / 大きな下落経験あり
80,6367.T,ダイキン工業,31.7,長期安定性は弱い,10,2.6,11,-9.7,-14.7,27.7,-50,56.7,0.41,0.72,34.7,32.1,26.1,S&P500に劣後 / 大きな下落経験あり
81,4005.T,住友化学,31.5,長期安定性は弱い,10,2.1,4.9,-10.3,-15.2,24.1,-47.2,48.3,0.07,0.1,33.7,32,27.1,S&P500に劣後 / 大きな下落経験あり / 上昇月の比率が低い
82,2801.T,キッコーマン,29.9,長期安定性は弱い,10,0.4,7,-12,-16.9,26.1,-38.2,41.7,0.12,0.2,30.9,31.4,26.3,S&P500に劣後 / 上昇月の比率が低い
83,2432.T,ディー・エヌ・エー,28.7,長期安定性は弱い,10,5.5,3.5,-6.9,-11.8,38.4,-46.4,53.3,0.03,0.08,39.5,19.4,24.4,S&P500に劣後 / 大きな下落経験あり / 値動きが大きい
84,3092.T,ZOZO,26.3,長期安定性は弱い,10,-2.3,7.8,-14.6,-19.6,25.8,-46.8,50,0.46,0.75,26.4,31.7,18.5,S&P500に劣後 / 大きな下落経験あり / 上昇月の比率が低い
85,6273.T,SMC,25.6,長期安定性は弱い,10,2,10.7,-10.3,-15.3,32.3,-52.7,50,0.45,0.91,33.6,19.1,21.9,S&P500に劣後 / 大きな下落経験あり / 上昇月の比率が低い
86,4568.T,第一三共,23.2,長期安定性は弱い,10,2.7,13.7,-9.6,-14.6,33.2,-57.7,46.7,-0.06,-0.12,34.9,11.3,21.4,S&P500に劣後 / 大きな下落経験あり / 上昇月の比率が低い
87,8113.T,ユニ・チャーム,18.9,長期安定性は弱い,10,-7.3,3.7,-19.6,-24.6,22.8,-54,48.3,-0.04,-0.06,17.9,28.1,7.4,S&P500に劣後 / 大きな下落経験あり / 上昇月の比率が低い
