screening_rank,updated_at,universe_rank,ticker,company,sector,theme,universe_score_100,decision,growth_score_25,quality_valuation_score_25,momentum_score_20,size_score_10,data_score_10,risk_penalty,market_cap_display,market_cap_million_jpy,per_forecast,pbr_actual,roe_actual_pct,dividend_yield_pct,revenue_yoy_pct,revenue_cagr_3period_pct,profit_metric_used,profit_yoy_pct,profit_cagr_3period_pct,price_date,close,ret60_pct,ret1y_pct,above_ma200_pct,volume_ratio20,max_drawdown60_pct,quote_status,performance_status,chart_status,selection_reason
50,2026/05/21 13:29,45,6201.T,豊田自動織機,機械/車載,物流・車載,32,今回は見送り,7,7,11,6,8,7,6.68兆円,6676475,,0.91,3.83,,7,6.8,営業利益,-38.2,-17.3,2026-05-21,20490,1.2,14.4,11.9,0.17,-0.9,取得,取得,取得,成長7/25 / 質/割安7/25 / 株価11/20 / 規模6/10 / 利益CAGRマイナス / 出来高倍率0.17倍
51,2026/05/21 13:29,46,7267.T,ホンダ,自動車,二輪・自動車,30,今回は見送り,4,13,0,6,9,2,6.25兆円,6246474,20.63,0.45,-3.51,5.08,0.5,3.3,営業利益,-134.1,,2026-05-21,1380,-12.8,-4,-9.2,0.3,-21,取得,取得,取得,成長4/25 / 質/割安13/25 / 株価0/20 / 規模6/10 / 出来高倍率0.3倍
52,2026/05/21 13:29,48,7270.T,SUBARU,自動車,米国販売,29,今回は見送り,4,18,0,8,10,11,1.78兆円,1781143,13.66,0.64,3.31,4.67,2.1,0.9,営業利益,-90.1,-70.7,2026-05-21,2483.5,-19.4,-6.9,-17.8,0.35,-25.9,取得,取得,取得,成長4/25 / 質/割安18/25 / 株価0/20 / 規模8/10 / 利益CAGRマイナス / 60日最大下落-25.9% / 出来高倍率0.35倍
53,2026/05/21 13:29,26,6723.T,ルネサス,半導体,車載・産業半導体,21,今回は見送り,0,3,17,6,8,13,7.27兆円,7271080,,2.78,-2.08,,-2,-5.2,営業利益,-9.8,-28.3,2026-05-21,3885,31.2,120.2,70.8,0.52,-28.2,取得,取得,取得,成長0/25 / 質/割安3/25 / 株価17/20 / 規模6/10 / 利益CAGRマイナス / 売上CAGRマイナス / 60日最大下落-28.2%
54,2026/05/21 13:29,71,2802.T,味の素,食品,食品・ヘルスケア,19,データ不足,0,0,16,0,3,0,,,,,,,,,,,,2026-05-21,5189,11.8,57.1,25.4,0.51,-15.9,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価16/20 / 規模0/10 / 主要減点なし
55,2026/05/21 13:29,59,4063.T,信越化学工業,化学,半導体材料・塩ビ,18,データ不足,0,0,17,0,3,2,,,,,,,,,,,,2026-05-21,6886,24,50.8,28.6,0.36,-11.2,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価17/20 / 規模0/10 / 出来高倍率0.36倍
56,2026/05/21 13:29,85,4385.T,メルカリ,ネット,フリマ・FinTech,17,データ不足,0,0,16,0,3,2,,,,,,,,,,,,2026-05-21,4072,19,70.7,36.7,0.47,-9.5,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価16/20 / 規模0/10 / 出来高倍率0.47倍
57,2026/05/21 13:29,54,8053.T,住友商事,商社,資源・非資源,15,データ不足,0,0,14,0,3,2,,,,,,,,,,,,2026-05-21,7169,9.3,92.3,35.4,0.2,-17.9,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価14/20 / 規模0/10 / 出来高倍率0.2倍
58,2026/05/21 13:29,56,1605.T,INPEX,エネルギー,原油・ガス,15,データ不足,0,0,14,0,3,2,,,,,,,,,,,,2026-05-21,3901,8.4,102.4,19.5,0.43,-22.7,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価14/20 / 規模0/10 / 出来高倍率0.43倍
59,2026/05/21 13:29,63,4005.T,住友化学,化学,石化・農薬,15,データ不足,0,0,14,0,3,2,,,,,,,,,,,,2026-05-21,593.7,1,76.1,24,0.38,-22.4,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価14/20 / 規模0/10 / 出来高倍率0.38倍
