updated_at,source,series_type,industry,month,index_value,source_file
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2018-05,114.8,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2018-06,114.6,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2018-07,113.7,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2018-08,114.5,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2018-09,112.5,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2018-10,116.4,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2018-11,115.2,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2018-12,115.5,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2019-01,112.6,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2019-02,114.3,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2019-03,113.5,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2019-04,113.2,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2019-05,113.9,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2019-06,113.3,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2019-07,112.9,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2019-08,111.5,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2019-09,112.5,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2019-10,108.1,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2019-11,107.9,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2019-12,108.7,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2020-01,108.9,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2020-02,105.9,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2020-03,105.8,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2020-04,95.7,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2020-05,86.7,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2020-06,89.7,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2020-07,95,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2020-08,97.2,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2020-09,99.4,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2020-10,104.3,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2020-11,103.7,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2020-12,103.6,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2021-01,106.7,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2021-02,106.1,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2021-03,106.7,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2021-04,109.4,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2021-05,103.3,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2021-06,109.5,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2021-07,107,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2021-08,103.7,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2021-09,97.9,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2021-10,102.2,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2021-11,107,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2021-12,105.8,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2022-01,105.1,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2022-02,106.1,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2022-03,105.7,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2022-04,106,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2022-05,98.9,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2022-06,106.1,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2022-07,106.1,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2022-08,107.6,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2022-09,106.5,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2022-10,106.1,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2022-11,105.6,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2022-12,105.5,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2023-01,101.2,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2023-02,104.7,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2023-03,104.9,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2023-04,105.3,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2023-05,104.1,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2023-06,105,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
2026/05/20 00:30,METI 鉱工業指数,生産,製造工業,2023-07,103.6,C:\AI関連ファイル\株\data\industry_public\meti_iip_05_b2020_gsm1j.xlsx
