updated_at,market_symbol,market_name,month,month_close,market_return_1m_pct,market_return_3m_pct,source
2026/05/20 02:25,^N225,日経平均,2024-07,38647.75,-1.161,0.415,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2024-08,37919.551,-1.884,-4.203,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2024-09,39081.25,3.064,-0.053,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2024-10,38208.031,-2.234,-1.138,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2024-11,39894.539,4.414,5.208,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2024-12,39572.488,-0.807,1.257,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2025-01,37155.5,-6.108,-2.755,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2025-02,35617.559,-4.139,-10.721,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2025-03,36045.379,1.201,-8.913,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2025-04,37965.102,5.326,2.179,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2025-05,40487.391,6.644,13.673,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2025-06,41069.82,1.439,13.939,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2025-07,42718.469,4.014,12.52,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2025-08,44932.629,5.183,10.979,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2025-09,52411.34,16.644,27.615,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2025-10,50253.91,-4.116,17.64,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2025-11,50339.48,0.17,12.033,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2025-12,53322.852,5.927,1.739,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2026-01,58850.27,10.366,17.106,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2026-02,51063.719,-13.231,1.439,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2026-03,59284.922,16.1,11.181,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2026-04,60815.949,2.582,3.34,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2026-05,60550.59,-0.436,18.578,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2018-06,7510.3,,,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2018-07,7671.79,2.15,,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2018-08,8109.54,5.706,,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2018-09,8046.35,-0.779,7.138,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2018-10,7305.9,-9.202,-4.769,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2018-11,7330.54,0.337,-9.606,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2018-12,6635.28,-9.484,-17.537,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2019-01,7281.74,9.743,-0.331,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2019-02,7532.53,3.444,2.755,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2019-03,7729.32,2.613,16.488,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2019-04,8095.39,4.736,11.174,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2019-05,7453.15,-7.933,-1.054,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2019-06,8006.24,7.421,3.583,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2019-07,8175.42,2.113,0.989,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2019-08,7962.88,-2.6,6.839,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2019-09,7999.34,0.458,-0.086,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2019-10,8292.36,3.663,1.43,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2019-11,8665.47,4.499,8.823,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2019-12,8972.6,3.544,12.167,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2020-01,9150.94,1.988,10.354,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2020-02,8567.37,-6.377,-1.132,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2020-03,7700.1,-10.123,-14.182,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2020-04,8889.55,15.447,-2.856,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2020-05,9489.87,6.753,10.768,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2020-06,10058.77,5.995,30.632,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2020-07,10745.27,6.825,20.875,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2020-08,11775.46,9.587,24.085,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2020-09,11167.51,-5.163,11.023,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2020-10,10911.59,-2.292,1.548,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2020-11,12198.74,11.796,3.595,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2020-12,12888.28,5.653,15.409,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2021-01,13070.69,1.415,19.787,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2021-02,13192.35,0.931,8.145,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2021-03,13246.87,0.413,2.782,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2021-04,13962.68,5.404,6.824,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2021-05,13748.74,-1.532,4.218,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2021-06,14503.95,5.493,9.49,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2021-07,14672.68,1.163,5.085,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2021-08,15259.24,3.998,10.986,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2021-09,14448.58,-5.313,-0.382,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2021-10,15498.39,7.266,5.628,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2021-11,15537.69,0.254,1.825,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2021-12,15644.97,0.69,8.28,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2022-01,14239.88,-8.981,-8.12,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2022-02,13751.4,-3.43,-11.496,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2022-03,14220.52,3.411,-9.105,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2022-04,12334.64,-13.262,-13.38,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2022-05,12081.39,-2.053,-12.144,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2022-06,11028.74,-8.713,-22.445,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2022-07,12390.69,12.349,0.454,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2022-08,11816.2,-4.636,-2.195,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2022-09,10575.62,-10.499,-4.109,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2022-10,10988.15,3.901,-11.319,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2022-11,11468,4.367,-2.947,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2022-12,10466.48,-8.733,-1.032,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2023-01,11584.55,10.682,5.428,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2023-02,11455.54,-1.114,-0.109,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2023-03,12221.91,6.69,16.772,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2023-04,12226.58,0.038,5.542,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2023-05,12935.29,5.796,12.917,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2023-06,13787.92,6.592,12.813,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2023-07,14346.02,4.048,17.335,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2023-08,14034.97,-2.168,8.501,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2023-09,13219.32,-5.812,-4.124,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2023-10,12851.24,-2.784,-10.419,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2023-11,14226.22,10.699,1.363,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2023-12,15011.35,5.519,13.556,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2024-01,15164.01,1.017,17.996,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2024-02,16091.92,6.119,13.115,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2024-03,16379.46,1.787,9.114,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2024-04,15657.82,-4.406,3.256,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2024-05,16735.02,6.88,3.996,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2024-06,17732.6,5.961,8.261,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2024-07,17599.4,-0.751,12.4,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2024-08,17713.619,0.649,5.848,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2024-09,18189.17,2.685,2.575,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2024-10,18095.15,-0.517,2.817,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2024-11,19218.17,6.206,8.494,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2024-12,19310.789,0.482,6.166,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2025-01,19627.439,1.64,8.468,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2025-02,18847.279,-3.975,-1.93,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2025-03,17299.289,-8.213,-10.416,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2025-04,17446.34,0.85,-11.113,Yahoo Finance chart API 1mo
2026/05/20 02:25,^IXIC,NASDAQ総合,2025-05,19113.77,9.557,1.414,Yahoo Finance chart API 1mo
